Issue Number,Title,Type,Functional Areas,Priority,Priority Score,Labels,URL
5045,[Feature]: Need since or reason field in @Hidden annotation,Feature,Annotation Processing,Low,2,Feature,https://github.com/swagger-api/swagger-core/issues/5045
5043,[Bug]: AnnotatedType equality in ModelConverterContextImpl,Bug,Jakarta Migration; Annotation Processing; Validation,High,4,Bug,https://github.com/swagger-api/swagger-core/issues/5043
5036,[Bug]: Example text is truncated when beginning with numbers,Bug,Annotation Processing; Validation; Examples,High,4,Bug,https://github.com/swagger-api/swagger-core/issues/5036
5035,[Bug]: Jakarta @Positive validation is not present in Swagger,Bug,Jakarta Migration; Validation,High,4,Bug,https://github.com/swagger-api/swagger-core/issues/5035
5028,[Bug]: Polymorphic types don&#39;t include composite schema reference,Bug,Polymorphic Types; Jackson; Dependencies,Critical,5,Bug,https://github.com/swagger-api/swagger-core/issues/5028
5027,"&#34;required&#34; property in Schema.java should be a Set (SortedSet for example), not a List",Other,Validation; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/5027
5017,[Bug]: OpenAPI 3.1: Enum used in @Schema#propertyNames removed when filtering unreferenced schemas,Bug,Annotation Processing; Examples,High,4,Bug,https://github.com/swagger-api/swagger-core/issues/5017
5016,[Question]: Duplicate schema names don&#39;t throw but are overwritten,Question,Annotation Processing,High,4,Question,https://github.com/swagger-api/swagger-core/issues/5016
5014,[Question]: How to specify @Schema.examples where each element is an array?,Question,Annotation Processing; Examples,Low,1,Question,https://github.com/swagger-api/swagger-core/issues/5014
5013,[Bug]: @ArraysSchema applied on a stream property results in object type in OAS 3.1,Bug,Annotation Processing; Dependencies,High,4,Bug,https://github.com/swagger-api/swagger-core/issues/5013
5012,[Bug]: The OAS 3.1 is missing information from the @ArraysSchema.arraySchema,Bug,Annotation Processing; Examples; Dependencies,High,4,Bug,https://github.com/swagger-api/swagger-core/issues/5012
5011,[Feature]: Drop commons-lang3 dependency and replace its usages with core Java,Feature,Dependencies,Low,2,Feature,https://github.com/swagger-api/swagger-core/issues/5011
5007,[Bug]: kotlin inline classes produce weird field names,Bug,Jakarta Migration; Annotation Processing; Jackson; Kotlin; Dependencies,High,4,Bug,https://github.com/swagger-api/swagger-core/issues/5007
5001,[Bug]: Native support for Jakarta @Nullable annotation to generate proper OAS 3.1 nullable types,Bug,Jakarta Migration; Annotation Processing; Validation; Examples; Dependencies,High,4,Bug,https://github.com/swagger-api/swagger-core/issues/5001
4999,[Bug]: Example value starting with a number is parsed incorrectly,Bug,Jakarta Migration; Annotation Processing; Examples,High,4,Bug,https://github.com/swagger-api/swagger-core/issues/4999
4993,[Bug]: Regression: class specified in @ArraySchema.schema.implementation not rendered in schemas,Bug,Annotation Processing; Dependencies,Critical,5,Bug,https://github.com/swagger-api/swagger-core/issues/4993
4991,[Feature] Support Jackson 3.x release line,Feature,Jackson,Critical,5,Feature,https://github.com/swagger-api/swagger-core/issues/4991
4984,[Question]: Duplicate records if Class and Operation both has @Path param,Question,Jakarta Migration; Annotation Processing; Examples; Dependencies,Low,1,Question,https://github.com/swagger-api/swagger-core/issues/4984
4976,[Feature]: Reduce Boilerplate in swagger-core Models (Optional Lombok Support or Alternatives),Feature,Other,High,4,Feature,https://github.com/swagger-api/swagger-core/issues/4976
4966,[Feature]: Provide a bom module for managing dependencies,Feature,Examples; Dependencies,Low,2,Feature,https://github.com/swagger-api/swagger-core/issues/4966
4963,[Bug]: Primitive boxed type schemas used in @ApiResponse content schema implementations are incorrectly cast to string,Bug,Annotation Processing,High,4,Bug,https://github.com/swagger-api/swagger-core/issues/4963
4960,[Bug]: SpecFilter skips the ApiResponse#$ref field,Bug,Annotation Processing; Validation,High,4,Bug,https://github.com/swagger-api/swagger-core/issues/4960
4951,[Feature]: support for runtime skip properties inside ModelConverter,Feature,Other,Low,2,Feature,https://github.com/swagger-api/swagger-core/issues/4951
4939,Integer enum Schema parsing can fail based upon locale,Question,Examples,Low,1,Question,https://github.com/swagger-api/swagger-core/issues/4939
4935,Jackson dependency update results in &#34;java 8 date/time type java.time.LocalDateTime not supported by default&#34;,Question,Jakarta Migration; Annotation Processing; Examples; Jackson; Dependencies,High,4,Question,https://github.com/swagger-api/swagger-core/issues/4935
4928,Lack of Friendly Support for Parameter Validation Grouping,Other,Jakarta Migration; Annotation Processing; Validation; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4928
4924,Ability to remove unused definitions from generated YML,Other,Other,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4924
4923,Custom UUID wrapper class can&#39;t be used anymore after 2.2.28,Other,Annotation Processing; Examples,High,4,,https://github.com/swagger-api/swagger-core/issues/4923
4910,Create an annotation the add at controller level to summarize information regarding failed http responses.,Other,Annotation Processing; Validation; Examples,Critical,5,,https://github.com/swagger-api/swagger-core/issues/4910
4909,Custom NotNull annotations stopped working between 2.2.28 and 2.2.29,Other,Jakarta Migration; Annotation Processing; Validation,Critical,5,,https://github.com/swagger-api/swagger-core/issues/4909
4908,defaultValue attribute at enum object generate arbitrary json file,Other,Jakarta Migration; Annotation Processing; Examples; Dependencies,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4908
4906,java.lang.Object converted to json object (map) type,Other,Other,High,4,,https://github.com/swagger-api/swagger-core/issues/4906
4905,CustomResolver&#39;s Results get overwritten by default ModelResolver,Other,Annotation Processing; Jackson,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4905
4904,java.lang.ClassCastException: class io.swagger.v3.oas.models.media.JsonSchema cannot be cast to class io.swagger.v3.oas.models.media.ComposedSchema,Other,Jackson,High,4,,https://github.com/swagger-api/swagger-core/issues/4904
4903,jackson module not working in 2.2.30,Other,Jakarta Migration; Jackson,High,4,,https://github.com/swagger-api/swagger-core/issues/4903
4887,Order of `required` properties,Other,Validation,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4887
4886,Validation Meta annotations not working,Other,Jakarta Migration; Annotation Processing; Validation; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4886
4882,swagger-maven-plugin: OPERATION annotation with multiple TAGS does not correctly generate openapi.json using inheritance in Java,Other,Polymorphic Types; Annotation Processing; Dependencies,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4882
4877,2.2.30 - @NotNull(jakarta.validation.constraints.NotNull) assigned to a group should treat field as mandatory,Other,Jakarta Migration; Validation,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4877
4864,generate OpenApi yml file with swagger-maven-plugin and with Java 17 #903,Other,Annotation Processing; Dependencies,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4864
4863,&#34;Override&#34; example value when extending a class,Other,Annotation Processing; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4863
4854,Bootstrapped servlet returns empty JSON as of 2.2.24,Other,Annotation Processing; Examples,High,4,,https://github.com/swagger-api/swagger-core/issues/4854
4851,The example value of the request body in swagger has a &#34;string&#34; value,Other,Annotation Processing; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4851
4848,ModelResolver#resolve ignores TYPE_USE annotations on property types,Other,Annotation Processing; Jackson,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4848
4847,@Schema annotation on custom string type is ignored when using @JsonValue,Other,Annotation Processing; Jackson,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4847
4846,Swagger adds extra line breaks in yaml generated from annotated code,Other,Jakarta Migration; Annotation Processing; Examples; Dependencies,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4846
4844,swagger-annotations: Add annotations to support x-enum-descriptions and x-enum-varnames,Other,Annotation Processing; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4844
4843,OpenApi not generated when resourceClasses used,Other,Other,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4843
4842,OpenApi doc not beeing generated properly,Other,Jakarta Migration; Annotation Processing; Validation; Examples; Jackson; Dependencies,High,4,,https://github.com/swagger-api/swagger-core/issues/4842
4841,2.2.27 &amp; 2.2.28: org.gradle.api.internal.DefaultMutationGuard$IllegalMutationException: Project#afterEvaluate(Action) on project &#39;:XX&#39; cannot be executed in the current context.,Bug,Validation; Dependencies,Critical,5,"Bug, P1",https://github.com/swagger-api/swagger-core/issues/4841
4840,[Feature] Mark type as deprecated if the class is `@Deprecated`,Feature,Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4840
4839,[Feature/Bug] Forbid mutliple `@ApiResponse` annotations with the same response code,Other,Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4839
4838,Empty default values are ignored,Feature,Annotation Processing; Validation,Low,2,Feature,https://github.com/swagger-api/swagger-core/issues/4838
4837,Is it possible to convert from OAS 3.0 to OAS 3.1 using this lib?,Other,Other,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4837
4824,Bill of material,Other,Jakarta Migration; Annotation Processing; Dependencies,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4824
4820,"@Schema(example=&#34;1234&#34;, type=&#34;string&#34;) interpreted as integer",Other,Annotation Processing; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4820
4819,Definition for parent interface not generated,Other,Polymorphic Types; Annotation Processing; Validation; Jackson,High,4,,https://github.com/swagger-api/swagger-core/issues/4819
4813,Upgrade to v2.2.27: Cannot change dependencies of dependency configuration &#39;&#39; after it has been included in dependency resolution,Bug,Dependencies,Critical,5,"Bug, P1",https://github.com/swagger-api/swagger-core/issues/4813
4789,Classes / enums with same name but different package replace each other,Other,Other,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4789
4763,Explicit schema type specified on `@Parameter` annotation is always ignored,Other,Jakarta Migration; Annotation Processing; Validation; Dependencies,High,4,,https://github.com/swagger-api/swagger-core/issues/4763
4753,@Schema field-level description ignored when using custom type with $ref #2723,Other,Jakarta Migration; Annotation Processing; Validation; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4753
4711,@Schema is processed without enum when implementation and allowableValues exist at the same time,Other,Jakarta Migration; Annotation Processing; Validation,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4711
4696,Using @JsonUnwrapped with @Schema(implementation = Something) does not unwrap,Other,Annotation Processing; Jackson,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4696
4689,BUG Unable to deserialize OpenAPI Parameter,Other,Validation,High,4,,https://github.com/swagger-api/swagger-core/issues/4689
4682,BUG properties of type Object do not have any type information when generating open api 3.1.0,Bug,Examples; Jackson,High,4,"Bug, P2, pull-request-welcome, 3.1 spec support",https://github.com/swagger-api/swagger-core/issues/4682
4649,Generated but not references ResponseEntity*** type in schema if rest-api-class is using spring&#39;s ResponseEntity,Other,Jakarta Migration; Annotation Processing; Validation; Examples; Dependencies,Critical,5,,https://github.com/swagger-api/swagger-core/issues/4649
4555,Could `@Schema(nullable = true)` work when outputting OpenAPI 3.1.0?,Other,Annotation Processing; Validation,Critical,5,,https://github.com/swagger-api/swagger-core/issues/4555
4506,Jackson @JsonFormat doesn&#39;t support Enum type,Other,Jackson; Kotlin,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4506
4404,Add support for more java.time objects,Other,Other,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4404
4358,Incorrect mapping of sub-classes when nested as member of another sub-class,Other,Polymorphic Types; Annotation Processing; Examples,High,4,,https://github.com/swagger-api/swagger-core/issues/4358
4355,@ApiResponse cannot infer parametrised type with Java Generics ,Other,Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4355
4352,Inconsistent behaviour for oneOf,Other,Polymorphic Types; Annotation Processing; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4352
4330,Missing oneOf sections for polymorphic schema,Other,Polymorphic Types; Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4330
4244,Ignore JAX-RS method parameters with specific annotations,Other,Annotation Processing; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4244
4156,Sealed kotlin class with oneOf annotation generates a type: object,Other,Polymorphic Types; Annotation Processing; Jackson; Kotlin,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4156
4061,@Schema not working for boolean fields in Java,Other,Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/4061
3818,Maps that use enums as keys don&#39;t explicitly declare them in the resulting swagger def.,Other,Annotation Processing; Validation; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/3818
3689,@ArraySchema is ignored in model property (array of abstract class),Other,Polymorphic Types; Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/3689
3677,How to prevent oneOf() on supertypes leading to recursion in subtypes?,Other,Polymorphic Types; Annotation Processing; Examples; Jackson,Medium,3,,https://github.com/swagger-api/swagger-core/issues/3677
3577,[bug] Integer enum support,Other,Other,Medium,3,,https://github.com/swagger-api/swagger-core/issues/3577
3567,Question: Is there a way to specify allowableValues dynamically?,Other,Polymorphic Types; Annotation Processing; Examples,Medium,3,,https://github.com/swagger-api/swagger-core/issues/3567
3556,Multiple SecurityRequirements annotations with AND condition,Other,Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/3556
3530,Getting StackOverflowError on ModelResolver,Other,Annotation Processing,High,4,,https://github.com/swagger-api/swagger-core/issues/3530
3496,Swagger does not serializes Generic Objects in API response completely.,Other,Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/3496
3411,Consider the @JsonSubTypes for generating the discriminator mapping,Feature,Polymorphic Types; Annotation Processing; Validation; Jackson; Dependencies,Low,2,"Feature, Workaround available, P2, :thumbsup: Top Issue!",https://github.com/swagger-api/swagger-core/issues/3411
3323,Generic Response Types,Feature,Annotation Processing; Validation; Examples,Low,2,Feature,https://github.com/swagger-api/swagger-core/issues/3323
3089,Can&#39;t reference javax.ws.rs.core.Response.Status enum in @ApiResponse.responseCode,Other,Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/3089
3025,"openapi.json fails to take into account servlet context path, produces bad spec file",Other,Other,High,4,,https://github.com/swagger-api/swagger-core/issues/3025
2998,ApiImplicitParam and ApiImplicitParams for Swagger 2.X,Other,Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/2998
2961,Field with first letter lower case not recognized,Other,Other,Medium,3,,https://github.com/swagger-api/swagger-core/issues/2961
2844,disable global security for particular operation,Other,Annotation Processing,Medium,3,,https://github.com/swagger-api/swagger-core/issues/2844
2192,Field name is getting generated wrongly if field type is &#34;Boolean&#34; (wrapper class for boolean) instead of primitive &#34;boolean&#34; type,Other,Other,Medium,3,,https://github.com/swagger-api/swagger-core/issues/2192
